"MULTILINESTRING ((-73.93659218904182 40.808168909686636, -73.93510528611735 40.80753984952534))",7
"MULTILINESTRING ((-73.9440050404881 40.701961791192026, -73.9438247380718 40.70186200787861))",6
"MULTILINESTRING ((-73.8841338123641 40.845817588146545, -73.88347874944499 40.84549755957789))",15
"MULTILINESTRING ((-73.92100545144733 40.654918223905746, -73.92059321672137 40.65454772878904))",8
"MULTILINESTRING ((-73.91735899376141 40.64147832917031, -73.91676941975356 40.6409455717915, -73.91532186871135 40.639637438421836))",106
"MULTILINESTRING ((-73.86148136501144 40.81502942322824, -73.86055417833197 40.81515521287019))",1
"MULTILINESTRING ((-73.97336435988299 40.64094323200676, -73.97292003011171 40.638553629374144))",50
"MULTILINESTRING ((-74.10889317251937 40.56588461441172, -74.11013947171949 40.5643106668319))",9
"MULTILINESTRING ((-73.97446571655583 40.587929723572586, -73.97448851223649 40.587192758508365))",41
"MULTILINESTRING ((-74.00980015255962 40.73320367184336, -74.00986909261987 40.732450643173316))",29
"MULTILINESTRING ((-73.97122292287071 40.78270625558759, -73.97405818202098 40.78390111977805))",206
"MULTILINESTRING ((-73.97569674014365 40.669973371403195, -73.97332284319073 40.66882492275836))",48
"MULTILINESTRING ((-73.94772447984053 40.80454929573365, -73.94727200427108 40.8051795376888))",5
"MULTILINESTRING ((-73.90477576861635 40.64611617495264, -73.90398200553132 40.64662856707455))",38
"MULTILINESTRING ((-73.99903910235962 40.67584367285838, -73.9974470278847 40.675400028194815))",47
"MULTILINESTRING ((-73.90274984834987 40.87396586920251, -73.90215070141707 40.87558593520302))",2
"MULTILINESTRING ((-73.9647593032805 40.801741613116434, -73.96699232050973 40.80268200194553, -73.9672222824203 40.802778841600094, -73.96749722998976 40.80289462395369))",42
"MULTILINESTRING ((-73.94627798975631 40.577556710264034, -73.94536595058618 40.57765601316523))",13
"MULTILINESTRING ((-73.947755416685 40.7928696242189, -73.94627912560583 40.79224538496615))",55
"MULTILINESTRING ((-74.08480741468593 40.62726995009089, -74.08498136162588 40.626891818818144))",22
"MULTILINESTRING ((-73.90808007046148 40.81603330016437, -73.90786905984535 40.81598977222009, -73.90782835384458 40.81598137552336, -73.90725032851428 40.81586213578389, -73.90720193481562 40.81585215275768, -73.9071541354387 40.81584229198003))",28
"MULTILINESTRING ((-73.99567728599948 40.63078929204479, -73.99399551256158 40.629775915657135))",22
"MULTILINESTRING ((-73.98570910190504 40.64118563318051, -73.98350134308816 40.639857791221424))",11
"MULTILINESTRING ((-73.95190188120695 40.69206231773843, -73.94862235179448 40.69243941285271))",92
"MULTILINESTRING ((-73.88325752555339 40.87059238562367, -73.88281909898748 40.869871550152034))",12
"MULTILINESTRING ((-73.93149539341891 40.85238000713456, -73.93272489028617 40.8528974688862))",12
"MULTILINESTRING ((-73.98156759169406 40.6425557045689, -73.98123240501393 40.64204491288514))",3
"MULTILINESTRING ((-74.00083835303036 40.600957367204884, -74.00210583355798 40.599718061258436))",10
"MULTILINESTRING ((-73.90468371410957 40.857060301724815, -73.90452151245363 40.85732691165902))",1
"MULTILINESTRING ((-73.95952069633773 40.610302052837014, -73.9591573032652 40.6083835254227))",10
"MULTILINESTRING ((-73.90958727335908 40.842756374516405, -73.90865715738573 40.84271936980297))",14
