start station latitude,start station longitude,end station latitude,end station longitude
40.74345335,-74.00004031,40.79017948,-73.97288918
40.72490985,-74.00154702,40.72210379,-73.99724901
40.77579377,-73.97620574,40.793393,-73.9635556
40.71044554,-73.96525063,40.70691254,-73.95441667
40.77862688,-73.95772073,40.77801203,-73.95407149
40.6750705,-73.98775226,40.6765304,-73.97846879
40.68506807,-73.9779076,40.6843549,-73.98901629
40.76269882,-73.99301222,40.76461837,-73.98789473
40.76584941,-73.98690506,40.76461837,-73.98789473
40.74232744,-73.95411749,40.73564,-73.95866
40.7252557,-74.00412083,40.73649403,-73.99704374
40.76019252,-73.9912551,40.76227205,-73.98788205
40.6711978,-73.97484126,40.6711978,-73.97484126
40.77492513,-73.98266566,40.75898481,-73.99379969
40.749156,-73.9916,40.75668721,-73.98257732
40.77536905,-73.94803392,40.75058535,-73.99468482
40.76019252,-73.9912551,40.76227205,-73.98788205
40.72243797,-74.00566443,40.735238,-74.000271
40.73020661,-73.99102628,40.7862586,-73.94552579
40.77492513,-73.98266566,40.768254,-73.988639
40.68382604,-73.97632328,40.6902375,-73.99203074
40.65708867,-74.00870204,40.68488,-73.96304
40.73020661,-73.99102628,40.74444921,-73.98303529
40.73454567,-73.99074142,40.72317958,-73.99480012
40.7292365,-73.99086803,40.72621788,-73.98379855
40.68034242,-73.95576894,40.69794,-73.96986848
40.749156,-73.9916,40.75668721,-73.98257732
40.76695317,-73.98169333,40.77748046,-73.98288594
40.73221853,-73.98165557,40.736502,-73.97809472
40.76500525,-73.95818491,40.75968085,-73.97031366
40.751581,-73.97791,40.75019995,-73.99093085
40.73649403,-73.99704374,40.73454567,-73.99074142
40.75038009,-73.98338988,40.739323,-74.008119
40.716887,-73.963198,40.70924826,-73.96063149
40.72066442,-73.98517977,40.72066442,-73.98517977
40.715143,-73.944507,40.6906495,-73.95643107
40.72917025,-73.99810231,40.72621788,-73.98379855
40.71413089,-73.9970468,40.714215,-73.981346
40.7403432,-73.98955109,40.75019995,-73.99093085
40.7252557,-74.00412083,40.72917025,-73.99810231
40.72210379,-73.99724901,40.75038009,-73.98338988
40.72019576,-73.98997825,40.71622644,-73.98261206
40.72906,-73.95779,40.716887,-73.963198
40.75097711,-73.98765428,40.734232,-73.986923
40.72311651,-73.95212324,40.71036854,-73.94705951
40.78018397,-73.97728533,40.73827428,-73.98751968
40.72019576,-73.98997825,40.71622644,-73.98261206
40.78018397,-73.97728533,40.73827428,-73.98751968
40.71469,-73.95739,40.68940747,-73.96885458
40.76461837,-73.98789473,40.76269882,-73.99301222
40.73047747,-73.99906065,40.71406667,-73.99293911
40.71602118,-73.99974372,40.71285887,-73.96590294
40.7252557,-74.00412083,40.72066442,-73.98517977
