start station latitude,start station longitude,end station latitude,end station longitude
40.78018397,-73.97728533,40.7652654,-73.98192338
40.739445,-73.976806,40.76302594,-73.97209525
40.69196566,-73.9813018,40.69308257,-73.97178913
40.72779126,-73.98564945,40.73649403,-73.99704374
40.7153379,-74.01658354,40.701907,-74.013942
40.728846,-74.008591,40.72210379,-73.99724901
40.728846,-74.008591,40.72210379,-73.99724901
40.7172274,-73.98802084,40.71273266,-74.0046073
40.75206862,-73.96784384,40.74311555,-73.98215353
40.76800889,-73.96845281,40.787801,-73.953559
40.71939226,-74.00247214,40.72771408,-74.01129574
40.73997354,-74.00513873,40.73291553,-74.00711384
40.721319,-74.010065,40.7941654,-73.974124
40.77750703,-73.98888588,40.7149787,-74.013012
40.73901691,-74.00263761,40.74691959,-74.00451887
40.7153379,-74.01658354,40.7153379,-74.01658354
40.75466591,-73.99138152,40.74937024,-73.99923384
40.70870368,-73.9448625,40.72079821,-73.95484712
40.76915505,-73.98191841,40.77632142,-73.96427393
40.699773,-73.979927,40.71044554,-73.96525063
40.71774592,-73.95600096,40.71745169,-73.95850939
40.6703837,-73.97839676,40.6729679,-73.97087984
40.72217444,-73.98368779,40.72362738,-73.99949601
40.7489006,-73.97604882,40.7403432,-73.98955109
40.69878,-73.99712,40.69991755,-73.98971773
40.75019995,-73.99093085,40.75724568,-73.97805914
40.72490985,-74.00154702,40.75097711,-73.98765428
40.69878,-73.99712,40.69991755,-73.98971773
40.72210379,-73.99724901,40.75899656,-73.96865398
40.74144387,-73.97536082,40.744023,-73.976056
40.751396,-74.005226,40.74334935,-74.00681753
40.7292365,-73.99086803,40.7262807,-73.98978041
40.74173969,-73.99415556,40.73401143,-74.00293877
40.72430527,-73.99600983,40.72165481,-74.00234737
40.7172274,-73.98802084,40.71273266,-74.0046073
40.73232194,-73.9550858,40.7612274,-73.96094022
40.686931,-74.016966,40.686931,-74.016966
40.72706363,-73.99662137,40.73704984,-73.99009296
40.71850211,-73.98329859,40.71273266,-74.0046073
40.72311651,-73.95212324,40.715143,-73.944507
40.71260486,-73.96264403,40.679098,-73.98765475
40.771522,-73.990541,40.76087502,-74.00277668
40.75058535,-73.99468482,40.74971775,-74.00295035
40.686931,-74.016966,40.6851256,-74.02535319
40.749156,-73.9916,40.7423543,-73.98915076
40.76087502,-74.00277668,40.71754834,-74.01322069
40.77452835,-73.98753759,40.78524672,-73.97667321
40.718822,-73.99596,40.713126,-73.984844
40.711512,-74.015756,40.70569254,-74.01677685
40.7652654,-73.98192338,40.75097711,-73.98765428
40.73726186,-73.99238967,40.73587678,-73.98205027
40.73726186,-73.99238967,40.73587678,-73.98205027
40.75206862,-73.96784384,40.77492513,-73.98266566
40.711512,-74.015756,40.7149787,-74.013012
40.79329668,-73.9432083,40.7862586,-73.94552579
40.66106337,-73.97945255,40.66106337,-73.97945255
40.72210379,-73.99724901,40.74025878,-73.98409214
40.74232744,-73.95411749,40.74731,-73.95451
40.74173969,-73.99415556,40.73401143,-74.00293877
40.71754834,-74.01322069,40.6728155,-73.98352355
40.74232744,-73.95411749,40.74731,-73.95451
40.78057799,-73.98562431,40.76087502,-74.00277668
40.722055,-73.989111,40.72210379,-73.99724901
40.76087502,-74.00277668,40.71754834,-74.01322069
40.77565541,-73.95068615,40.759107,-73.959223
40.6795766,-73.97854971,40.67260298,-73.98983002
40.70365182,-74.01167797,40.70706456,-74.00731853
40.72430527,-73.99600983,40.73291553,-74.00711384
40.73935542,-73.99931783,40.74275383,-74.00747359
40.795346,-73.96186,40.76302594,-73.97209525
40.744219,-73.97121214,40.7612274,-73.96094022
40.72430527,-73.99600983,40.73291553,-74.00711384
40.6800105,-73.938475,40.7169811,-73.94485918
40.71413311,-73.95234386,40.6729679,-73.97087984
40.68223166,-73.9614583,40.69196035,-73.96536851
40.72521311,-73.97768752,40.72430527,-73.99600983
40.66106337,-73.97945255,40.66106337,-73.97945255
40.6902375,-73.99203074,40.68691865,-73.976682
40.74734825,-73.99723551,40.75513557,-73.98658032
40.728846,-74.008591,40.71485151,-74.01122332
40.728846,-74.008591,40.71485151,-74.01122332
40.751396,-74.005226,40.74334935,-74.00681753
40.75206862,-73.96784384,40.77862688,-73.95772073
40.77579377,-73.97620574,40.7882213,-73.97041561
40.6728155,-73.98352355,40.6867443,-73.99063168
40.73224119,-74.00026394,40.74971775,-74.00295035
40.72210379,-73.99724901,40.74025878,-73.98409214
