"MULTILINESTRING ((-73.88578499825562 40.87581031164805, -73.88570393322713 40.875997685735754))",367,2
"MULTILINESTRING ((-73.99200253396593 40.7256192805842, -73.99172786135759 40.72636373041915))",150,2
"MULTILINESTRING ((-73.9684104637555 40.63150942913806, -73.96800084403013 40.62933305771256))",11,2
"MULTILINESTRING ((-73.95164287939222 40.710906314325925, -73.95111565749674 40.71095661947493))",22,2
"MULTILINESTRING ((-73.99858925568033 40.71709951103453, -73.99931241700145 40.71755024127483))",59,2
"MULTILINESTRING ((-73.96517258956095 40.62476548384062, -73.96417250276335 40.62487697565303))",7,2
"MULTILINESTRING ((-73.99479539539372 40.640288487384396, -73.99551033762245 40.63980966713005))",24,2
"MULTILINESTRING ((-73.99403554705293 40.66784825305241, -73.991794990939 40.66676621759843))",4,2
"MULTILINESTRING ((-73.99025783602238 40.689759456838665, -73.9906294371978 40.68918791363534, -73.99070669558942 40.68913674411066))",24,2
"MULTILINESTRING ((-73.88417915667249 40.67803084323408, -73.88370100579884 40.678162016368546))",17,2
"MULTILINESTRING ((-73.99716462399815 40.714634223652105, -73.99686561411467 40.715057817593284))",18,2
"MULTILINESTRING ((-73.95633603358336 40.705438332122064, -73.95442448132304 40.70667326389539))",36,2
"MULTILINESTRING ((-73.94006569159181 40.789625350140646, -73.93980486745895 40.78951533714482, -73.93968742732145 40.78946580188421, -73.93785961483077 40.788694819885166))",9,2
"MULTILINESTRING ((-73.89081892124348 40.87006270922935, -73.88989209050119 40.86952218342192))",7,2
"MULTILINESTRING ((-73.96281298508585 40.660509392810845, -73.96207826334215 40.66065606282337))",20,2
"MULTILINESTRING ((-73.9846461384197 40.58153794386205, -73.98414926473966 40.57905270913504))",6,2
"MULTILINESTRING ((-73.95360651525696 40.66644025477732, -73.9536891603368 40.6655491914109))",2,2
"MULTILINESTRING ((-73.91639300075465 40.67890584837842, -73.91592121175286 40.678959960328996, -73.9137390641508 40.6792102171916))",7,2
"MULTILINESTRING ((-73.95694149658824 40.72706052271143, -73.95717234112135 40.72731758732776))",18,2
"MULTILINESTRING ((-73.91147021077137 40.88962922327099, -73.91290330433242 40.88974837620778))",5,2
"MULTILINESTRING ((-73.900680759225 40.87567659272455, -73.90132928406578 40.87605349968324))",10,2
"MULTILINESTRING ((-73.9170716303827 40.695782546122985, -73.9168452773839 40.696011131253286, -73.91678866531045 40.69606830127899, -73.9167139030562 40.696143800215864, -73.91665894960407 40.696199294763005, -73.91659573443127 40.69626313235968, -73.91640993439374 40.69645076126377, -73.91636597185173 40.696495156082605, -73.91633102974576 40.69653044160695, -73.91629711218899 40.69656469254641, -73.91626541347094 40.696596703070995, -73.91622955554143 40.69663291398926, -73.91618422987172 40.69667868515583, -73.91613670222765 40.696726679631126, -73.91609583888506 40.69676794434414, -73.91601743311011 40.69684712091096, -73.91596878586124 40.696896245811494, -73.91561605435473 40.6972524399325))",23,2
"MULTILINESTRING ((-73.9234969919024 40.623801505196234, -73.92326135297446 40.621600683600754))",1,2
"MULTILINESTRING ((-73.84938986656152 40.90573494664697, -73.84902198296143 40.906366110981075))",3,2
"MULTILINESTRING ((-73.99300451710874 40.68836463553733, -73.99326830002886 40.68782445132587))",7,2
"MULTILINESTRING ((-74.00934164498157 40.61501509553724, -74.00906267881659 40.61484638713048, -74.00751639237556 40.61391119050987, -74.00714249336498 40.61368504831755))",6,2
"MULTILINESTRING ((-73.90396404624165 40.854960101687915, -73.90298864594831 40.85477310914504))",4,2
"MULTILINESTRING ((-73.83000111562299 40.85093026895594, -73.8297835587609 40.851621913774544))",9,2
"MULTILINESTRING ((-74.0752440397655 40.626006324024104, -74.07749670025858 40.62579960776369))",8,2
"MULTILINESTRING ((-74.00145719668859 40.707870261926715, -74.0004835408566 40.708350862733916))",5,2
"MULTILINESTRING ((-73.92652372179879 40.808161554438165, -73.92541187199843 40.807673929615504))",1,2
"MULTILINESTRING ((-73.90096409940561 40.856111113240395, -73.90085302657555 40.856289242771105, -73.90069727593085 40.85653900425796))",25,2
"MULTILINESTRING ((-73.98570910190504 40.64118563318051, -73.98629156798161 40.640624950936456))",3,2
"MULTILINESTRING ((-73.8946932640751 40.85942628230908, -73.89381026072503 40.85898656513199))",2,2
"MULTILINESTRING ((-73.992468277406 40.71385682427078, -73.99245563685322 40.71376288237609, -73.99239157049468 40.71319081048832))",6,2
"MULTILINESTRING ((-74.00593965656763 40.71969400587487, -74.00565492157942 40.7200569883107))",3,2
"MULTILINESTRING ((-73.9373456812181 40.71381593244469, -73.93729469375819 40.71453660120583))",7,2
"MULTILINESTRING ((-73.92044366203014 40.6656262871675, -73.92039098489735 40.66542109557532, -73.92035744735507 40.66529045109551, -73.92028506489076 40.6650084868037, -73.92004899996218 40.664088922387215))",4,2
"MULTILINESTRING ((-73.883182661131 40.84267088139085, -73.8828398837523 40.84250242945393, -73.88206493400101 40.84212158629924))",4,2
"MULTILINESTRING ((-73.9314717177658 40.84992123646858, -73.93286120823326 40.850506580658625))",2,2
"MULTILINESTRING ((-73.94973164992412 40.81792299819364, -73.95087990711843 40.8183944297219))",3,2
"MULTILINESTRING ((-74.00299812794165 40.64524553156831, -74.00079787001887 40.64391754716062))",3,2
"MULTILINESTRING ((-73.90719434905405 40.87745752455901, -73.90802213216426 40.87828797730651))",5,2
"MULTILINESTRING ((-73.90466384753685 40.695932246527555, -73.9042601841169 40.695700371443195))",8,2
"MULTILINESTRING ((-74.0082438245327 40.60305625464102, -74.0098707027289 40.60147071261132, -74.01012977301328 40.60121821045642))",3,2
"MULTILINESTRING ((-74.03404330705281 40.6233631942251, -74.03234884873444 40.62296256471544, -74.03135988374659 40.62272872165521))",1,2
"MULTILINESTRING ((-74.00333337249275 40.68372058928314, -74.00197017849437 40.683344998715114))",2,2
"MULTILINESTRING ((-73.89028361382972 40.63145584677354, -73.88923300956745 40.63094591965501))",1,2
"MULTILINESTRING ((-73.98534404483458 40.71446157773023, -73.98524329839593 40.713845678889236))",1,2
"MULTILINESTRING ((-73.90452151245363 40.85732691165902, -73.90361494933934 40.8570211253327))",2,2
"MULTILINESTRING ((-73.96210227483087 40.6323750205701, -73.96090504870821 40.632508941306014))",2,2
"MULTILINESTRING ((-74.00906264791007 40.710886703619906, -74.00969604011213 40.71117924428869, -74.01046533974602 40.711534547246366))",1,2
"MULTILINESTRING ((-73.99012543468906 40.71338236614114, -73.98997167263731 40.71264633890388))",1,2
"MULTILINESTRING ((-73.91242300760148 40.65724704176986, -73.91150378583546 40.65738218146794))",1,2
"MULTILINESTRING ((-74.1246006097077 40.6374678990708, -74.12433279272047 40.63540823846561))",1,2
"MULTILINESTRING ((-74.11954893662829 40.60455641043598, -74.11797000721224 40.60459173995343))",1,2
"MULTILINESTRING ((-73.94268819701934 40.66132050027633, -73.94261168312772 40.66061034193519))",2,2
"MULTILINESTRING ((-74.00392928359472 40.72085443455777, -74.0046351624464 40.72135363273812))",2,2
"MULTILINESTRING ((-73.90298864594831 40.85477310914504, -73.90208001143561 40.85462259869498))",4,2
"MULTILINESTRING ((-73.8665984834927 40.68526955906989, -73.86650407890508 40.68447405176217))",1,2
"MULTILINESTRING ((-74.15352241288939 40.56255078344113, -74.15513255661908 40.562130082365684))",1,2
"MULTILINESTRING ((-74.0985913385475 40.6185219597594, -74.09843151968627 40.61751500806233))",2,2
"MULTILINESTRING ((-73.95507400933403 40.73515973865736, -73.9528571902702 40.73536760806832))",4,2
"MULTILINESTRING ((-74.00171004940856 40.649940020157324, -73.99951526622151 40.64861150739982))",5,2
"MULTILINESTRING ((-73.91920451043367 40.66165519964629, -73.91893607368648 40.66141601067356, -73.91860168163767 40.661118048606966))",2,2
"MULTILINESTRING ((-73.97933977502744 40.65905009491224, -73.98026754352274 40.657935751364775))",1,2
"MULTILINESTRING ((-73.99302423134853 40.722800465080624, -73.99164949307169 40.72240247210243))",3,2
"MULTILINESTRING ((-73.88974236488517 40.67411655424597, -73.88941839371564 40.67284764160922))",2,2
"MULTILINESTRING ((-73.9174436626122 40.83452480843997, -73.91656946848856 40.834219866547606))",2,2
"MULTILINESTRING ((-73.99591435740518 40.691415488982166, -73.99623278100584 40.69075777408377))",2,2
"MULTILINESTRING ((-74.20856983712635 40.549260512350656, -74.20827072705383 40.54852768209098))",1,2
"MULTILINESTRING ((-73.9650459831776 40.57936439829022, -73.96490971534375 40.57899582640427))",1,2
"MULTILINESTRING ((-73.99478996998563 40.639371759268826, -73.99442564081473 40.639154167956264))",19,2
"MULTILINESTRING ((-73.8893426000562 40.8709210357041, -73.88872394706164 40.87127980768852, -73.88854757142369 40.87137971786304))",354,2
"MULTILINESTRING ((-73.89391898877831 40.86636819979477, -73.8937904562625 40.86653809420049))",307,2
"MULTILINESTRING ((-74.01326253180854 40.70873106798987, -74.01308187710583 40.70914698059294))",2,2
"MULTILINESTRING ((-73.91992595377606 40.669437020037385, -73.91879311431923 40.669914597820636))",192,2
"MULTILINESTRING ((-73.90959512149351 40.65766585460048, -73.90917728990952 40.6559948588883))",10,2
"MULTILINESTRING ((-73.89851282338759 40.848697853297324, -73.89776079171921 40.85002065213572))",882,2
"MULTILINESTRING ((-73.94343585256632 40.801919264486244, -73.94195597543771 40.801295959479525))",5,2
"MULTILINESTRING ((-73.98255629297816 40.731350134052, -73.98248725233293 40.7312738956433, -73.98194136560983 40.73104644848218, -73.98175130011967 40.730967256022865, -73.98037380354671 40.730393290040865))",45,2
"MULTILINESTRING ((-74.14519966530614 40.54310005780044, -74.14595159008789 40.54246606072739))",83,2
"MULTILINESTRING ((-73.87747471695926 40.66405608302135, -73.87710265445756 40.664222668635325))",167,2
"MULTILINESTRING ((-73.85952012837136 40.6697505445964, -73.85906876160172 40.66981604518929))",193,2
"MULTILINESTRING ((-74.03259356920195 40.63410974953538, -74.03272550673316 40.633790235259916, -74.03274235473312 40.63374942754122, -74.03287451463889 40.633429345431814))",12,2
"MULTILINESTRING ((-73.85719295908902 40.88759504172233, -73.85432270739975 40.886682305436956))",4,2
"MULTILINESTRING ((-73.8561598323871 40.895597378803245, -73.85524863005965 40.897251457653454))",6,2
"MULTILINESTRING ((-73.99529821527037 40.74967168209748, -73.9981201959906 40.750902898434965))",10,2
"MULTILINESTRING ((-73.99744448632232 40.71406687329112, -73.99647830963056 40.714107264332135, -73.99484048880628 40.71420935162359))",23,2
"MULTILINESTRING ((-73.87755056176735 40.668588266126775, -73.87676689247 40.668909949149445))",18,2
"MULTILINESTRING ((-73.94472264526969 40.78324757213886, -73.94462139704683 40.783266145978, -73.94401834913667 40.783015209269394))",15,2
"MULTILINESTRING ((-73.92458598688323 40.70482504100703, -73.92286348631319 40.706575593465004))",15,2
"MULTILINESTRING ((-74.01194691411979 40.70745153141393, -74.01296134424844 40.70777032084525))",6,2
"MULTILINESTRING ((-73.97596212280583 40.63577881651919, -73.97551015902643 40.63338567254159))",17,2
"MULTILINESTRING ((-73.88405811829581 40.64127740582856, -73.88344335503538 40.64072682810669))",35,2
"MULTILINESTRING ((-73.98399541546723 40.71741442353993, -73.98310329762194 40.71718084754543))",2,2
"MULTILINESTRING ((-74.03177291967661 40.63316482142147, -74.03019093198031 40.63279069500373))",2,2
