"MULTILINESTRING ((-74.07751770262072 40.627743132266005, -74.0797249224354 40.628950687893365))",6,5
"MULTILINESTRING ((-73.98056908024905 40.6681032968162, -73.97821264225144 40.66696330789392))",2,5
"MULTILINESTRING ((-73.88282003254935 40.678411942876096, -73.88233029324165 40.67650058573807))",4,5
"MULTILINESTRING ((-73.95666851720304 40.579868953326226, -73.95780968047043 40.57826875927873))",2,5
"MULTILINESTRING ((-73.94353105213649 40.57786095001017, -73.94257962649527 40.57796215627688))",1,5
"MULTILINESTRING ((-73.91969685318186 40.8378737961093, -73.91921363150509 40.83767365796597))",1,5
"MULTILINESTRING ((-73.99150877040458 40.68795840318224, -73.99193985195993 40.68731407180388))",1,5
"MULTILINESTRING ((-73.98504363809317 40.753554148214675, -73.98686557841317 40.75431781872822))",4,5
"MULTILINESTRING ((-73.98070684560402 40.61340218460915, -73.97954398809807 40.612707483688034))",3,5
"MULTILINESTRING ((-73.99622237272236 40.767352218631665, -73.99574495408581 40.767989992991296))",1,5
"MULTILINESTRING ((-73.89919770965432 40.86332897931679, -73.89803939245226 40.86283168353886))",1,5
"MULTILINESTRING ((-73.90923892584425 40.88845041129011, -73.90910942147735 40.888721157884966))",1,5
"MULTILINESTRING ((-73.89290356052165 40.82846671230625, -73.89189120079688 40.82854720892207))",1,5
"MULTILINESTRING ((-73.93658972213001 40.842915333284004, -73.9361252908634 40.84355063609927))",1,5
"MULTILINESTRING ((-74.02808018363976 40.63075415598411, -74.02536097320035 40.630109349572315))",3,5
"MULTILINESTRING ((-73.93126733604502 40.797640564752385, -73.93113657431056 40.79758607460195, -73.93107150575672 40.79755895948948, -73.92982023208498 40.79703751944414))",1,5
"MULTILINESTRING ((-74.01536728802037 40.619563617220855, -74.01316381314865 40.61823617216211))",1,5
"MULTILINESTRING ((-73.94309129982179 40.81090792392248, -73.94263087448493 40.81153023681167))",2,5
"MULTILINESTRING ((-73.94619473691901 40.77298506339947, -73.945128609087 40.7725324179775))",2,5
"MULTILINESTRING ((-74.02770568281922 40.639894406609905, -74.02789633368653 40.63971071733652, -74.02853941735353 40.63909112941787))",1,5
"MULTILINESTRING ((-74.0903521385415 40.57082122009255, -74.09113232842974 40.56996201563563))",1,5
"MULTILINESTRING ((-73.86778802755859 40.84487512386196, -73.86838555395332 40.84659888301556, -73.86843808086863 40.847051278606386))",2,5
"MULTILINESTRING ((-73.8705716929289 40.840541934654155, -73.87129999791176 40.841215076575374, -73.87223024679952 40.84164317017992))",1,5
"MULTILINESTRING ((-73.9625805208122 40.58995737316332, -73.9624443468343 40.58923886400355))",1,5
"MULTILINESTRING ((-74.01648765885447 40.62577531294818, -74.01442148581089 40.624528145447826, -74.01403349690504 40.62429394156755))",1,5
"MULTILINESTRING ((-73.95946906057665 40.7828333211621, -73.95786302352384 40.782161682100515))",1,5
"MULTILINESTRING ((-73.9298876503294 40.68709941145731, -73.92974999004991 40.686366021104696))",1,5
"MULTILINESTRING ((-73.98401838828585 40.600529933779235, -73.98309212632411 40.6006338834018))",1,5
"MULTILINESTRING ((-73.90832789720675 40.875644873191064, -73.90829219661175 40.87567580437514, -73.90825607328789 40.87570645260105, -73.90821953297888 40.87573681385241, -73.9081825787788 40.8757668849484, -73.90814521488466 40.875796663211574, -73.90810744571598 40.875826144624504, -73.90806927392487 40.87585532650854, -73.90803070481259 40.87588420568461, -73.90799174213524 40.87591277913989, -73.9079523898704 40.87594104335918, -73.9079126533182 40.87596899600097, -73.90787253601533 40.875996633214726, -73.90783204237897 40.87602395282575, -73.90779117660766 40.8760509511515, -73.90774994311984 40.87607762517972, -73.90770834721485 40.87610397323902, -73.90766639198922 40.87612999064087, -73.9076240831831 40.87615567621682, -73.90758142389119 40.87618102661846, -73.90753842073858 40.87620603917043, -73.90749507748146 40.87623071102742, -73.90745139831793 40.876255039009465, -73.90740738766401 40.87627902194715, -73.90736305192648 40.87630265548957))",3463,5
"MULTILINESTRING ((-73.8963957304024 40.828762879018655, -73.8954852276467 40.82824854088235))",6,5
"MULTILINESTRING ((-73.9721769497688 40.79393491552256, -73.9716846873849 40.794607442183505))",1605,5
"MULTILINESTRING ((-73.92011935314727 40.81289384215231, -73.91851461349634 40.81221998436355, -73.91683795823641 40.811656210605236))",8,5
"MULTILINESTRING ((-73.97685090884683 40.718168564972224, -73.9767413321439 40.71838175581235, -73.97665632902063 40.718547135179186, -73.97659917442475 40.71865833241529, -73.9763968000298 40.719052062590485))",2,5
"MULTILINESTRING ((-74.1290005406466 40.63433359385649, -74.13018055373412 40.634487054279354))",21,5
"MULTILINESTRING ((-74.11380599844665 40.627062826053134, -74.11426042686998 40.627008640963865))",1,5
"MULTILINESTRING ((-74.01733664052384 40.63072928935317, -74.01755939514045 40.63013156236207))",37,5
"MULTILINESTRING ((-73.93160218672786 40.66323044440058, -73.93068465493135 40.66362047627019))",5,5
"MULTILINESTRING ((-73.93281277365587 40.686763220716564, -73.9298876503294 40.68709941145731))",8,5
