"MULTILINESTRING ((-73.95106032943592 40.64681045180437, -73.95086695425448 40.64501545647314))",39,6
"MULTILINESTRING ((-73.92562291867722 40.64002011486111, -73.92555235618707 40.64036970502527))",140,6
"MULTILINESTRING ((-73.9962084626591 40.68172342456937, -73.99652797309383 40.68106004382337))",121,6
"MULTILINESTRING ((-73.96880989647165 40.693120382398824, -73.96849273172947 40.69154480352141))",11,6
"MULTILINESTRING ((-73.96753995485777 40.60723166671611, -73.96721710744724 40.605584151444155))",42,6
"MULTILINESTRING ((-73.95832342940454 40.78153537749325, -73.9578456555294 40.78133420613968, -73.95774378286224 40.781291387212235, -73.95681133995497 40.78089945571012))",1,6
"MULTILINESTRING ((-73.99117738158377 40.75532984807875, -73.99401944771284 40.75652767562453))",55,6
"MULTILINESTRING ((-73.95656830381094 40.64408927203147, -73.95642457843354 40.64277095764814))",4,6
"MULTILINESTRING ((-73.93676382405536 40.72483891922306, -73.93682959126602 40.7252349992383, -73.93693920130299 40.72589510554815, -73.93701098497195 40.72632745236411))",12,6
"MULTILINESTRING ((-73.82395955465337 40.84664124205508, -73.82301297056138 40.84716173785236))",22,6
"MULTILINESTRING ((-74.24123150867902 40.53898916609937, -74.24328931888797 40.53932931438027))",3,6
"MULTILINESTRING ((-73.92826115519343 40.66958767386759, -73.92832954926537 40.6688610366033))",1,6
"MULTILINESTRING ((-73.9450839774287 40.71878171356346, -73.9451077974865 40.718873604024616))",3,6
"MULTILINESTRING ((-73.85693179771333 40.84200599291045, -73.85617559944073 40.84209793745071))",3,6
"MULTILINESTRING ((-73.91804606958546 40.68721324726834, -73.91768113918805 40.68700409429878))",8,6
"MULTILINESTRING ((-73.95856772860755 40.679047821296145, -73.95627735837313 40.67856652255877))",20,6
"MULTILINESTRING ((-73.94154045874707 40.828447306557486, -73.94107859334916 40.82908316298381))",4,6
"MULTILINESTRING ((-73.92135762094358 40.82968933390425, -73.92106829743204 40.830210143860285, -73.92104017656368 40.83026100452078, -73.92062963418554 40.83096827283714))",6,6
"MULTILINESTRING ((-74.00892561374853 40.73115506861947, -74.00878392796439 40.73187289270951))",5,6
"MULTILINESTRING ((-74.08298237047363 40.60960367232055, -74.08351907781108 40.609079143968245))",1,6
"MULTILINESTRING ((-73.96629558133272 40.676179729006144, -73.96333115379836 40.675560772137175))",3,6
"MULTILINESTRING ((-73.95269927278541 40.594637791650904, -73.9517546518547 40.594738212686835))",1,6
"MULTILINESTRING ((-73.9707591941885 40.75582485073992, -73.96852047039987 40.75487619045495))",21,6
"MULTILINESTRING ((-73.96437746236685 40.68103957040137, -73.96428981880389 40.68053994291994))",1,6
"MULTILINESTRING ((-73.90562192826565 40.84992546956089, -73.90528069244647 40.85034046096905, -73.90513490051636 40.85053030012261, -73.90467389689225 40.85110082266887))",2,6
"MULTILINESTRING ((-73.98630429200733 40.66917266537461, -73.98394302379063 40.66803081223499))",3,6
"MULTILINESTRING ((-73.92413944305383 40.68175604632903, -73.9235638498742 40.68182086433987, -73.9234381051658 40.681835024447665))",4,6
"MULTILINESTRING ((-74.16745896515819 40.63718671727793, -74.16750787708291 40.63587612796675))",2,6
"MULTILINESTRING ((-73.89961066719162 40.909595552265756, -73.89922522974322 40.91104357919006))",2,6
"MULTILINESTRING ((-73.96266288170713 40.61691123892387, -73.96236397380909 40.615313581850636))",1,6
"MULTILINESTRING ((-73.91024382252415 40.663949503237696, -73.90985632468666 40.66241136091691))",4,6
"MULTILINESTRING ((-73.84988260266819 40.81867387854777, -73.84933348587501 40.81874617574309))",1,6
"MULTILINESTRING ((-73.95218878140716 40.64802109632287, -73.95118954193151 40.64806789945493))",2,6
